474.64	-3
474.9	15
475.16	-7
475.42	5
475.68	-20
475.94	33
476.2	-9
476.46	6
476.72	15
476.98	11
477.24	7
477.5	-9
477.76	20
478.02	3
478.28	3
478.54	-2
478.8	-8
479.06	1
479.32	-8
479.58	30
479.84	9
480.1	-8
480.36	18
480.62	8
480.88	9
481.14	2
481.4	-8
481.66	13
481.92	13
482.18	14
482.44	13
482.7	-12
482.96	5
483.22	21
483.48	-28
483.74	15
484	0
484.26	-7
484.52	17
484.78	5
485.04	12
485.3	-8
485.56	13
485.82	7
486.08	1
486.34	29
486.59	4
486.85	2
487.11	15
487.37	27
487.63	-2
487.89	11
488.15	18
488.41	-40
488.67	-3
488.93	13
489.19	-13
489.45	14
489.71	-7
489.97	-4
490.23	10
490.49	-6
490.75	10
491.01	6
491.27	-6
491.53	5
491.79	5
492.05	10
492.31	-5
492.57	22
492.83	9
493.09	-25
493.35	-7
493.61	2
493.87	17
494.12	28
494.38	20
494.64	16
494.9	22
495.16	-22
495.42	2
495.68	12
495.94	-15
496.2	7
496.46	16
496.72	24
496.98	7
497.24	-5
497.5	30
497.76	33
498.02	20
498.28	-1
498.54	0
498.8	-10
499.05	3
499.31	11
499.57	10
499.83	-1
500.09	4
500.35	25
500.61	8
500.87	0
501.13	9
501.39	-1
501.65	-6
501.91	-11
502.17	-4
502.43	31
502.69	-22
502.94	-5
503.2	4
503.46	-8
503.72	23
503.98	18
504.24	-10
504.5	26
504.76	20
505.02	10
505.28	8
505.54	-13
505.8	-14
506.06	16
506.31	20
506.57	0
506.83	-10
507.09	13
507.35	1
507.61	2
507.87	-6
508.13	-11
508.39	14
508.65	16
508.91	18
509.16	27
509.42	8
509.68	9
509.94	20
510.2	12
510.46	18
510.72	18
510.98	-3
511.24	-6
511.5	19
511.75	-6
512.01	21
512.27	33
512.53	37
512.79	1
513.05	-5
513.31	15
513.57	10
513.83	23
514.09	18
514.34	10
514.6	16
514.86	2
515.12	16
515.38	4
515.64	10
515.9	26
516.16	-12
516.42	-19
516.67	17
516.93	6
517.19	8
517.45	-14
517.71	22
517.97	-11
518.23	15
518.49	-2
518.74	-7
519	4
519.26	16
519.52	-5
519.78	4
520.04	18
520.3	10
520.56	1
520.81	16
521.07	-5
521.33	-5
521.59	1
521.85	-5
522.11	-5
522.37	10
522.62	24
522.88	8
523.14	33
523.4	-19
523.66	-6
523.92	6
524.18	4
524.44	15
524.69	21
524.95	0
525.21	2
525.47	25
525.73	2
525.99	-10
526.24	33
526.5	3
526.76	21
527.02	18
527.28	16
527.54	0
527.8	-36
528.05	19
528.31	11
528.57	11
528.83	10
529.09	0
529.35	32
529.61	11
529.86	14
530.12	13
530.38	2
530.64	-1
530.9	5
531.16	7
531.41	-5
531.67	13
531.93	13
532.19	22
532.45	3
532.71	14
532.96	-23
533.22	5
533.48	11
533.74	18
534	46
534.26	6
534.51	14
534.77	21
535.03	-1
535.29	3
535.55	-10
535.8	18
536.06	17
536.32	-19
536.58	1
536.84	11
537.1	40
537.35	-4
537.61	22
537.87	5
538.13	7
538.39	16
538.64	42
